1319719	1319720
1319719	1319721
1319719	1319753
1319719	1319767
1319721	1319719
1319721	1319722
1319721	1319770
1319721	1319789
1319767	1319719
1319767	1319768
1319767	1319774
1319726	1319720
1319726	1319725
1319726	1319727
1319722	1319721
1319722	1319723
1319770	1319721
1319770	1319769
1319770	1319785
1319789	1319721
1319789	1319730
1319789	1319785
1319789	1319954
1319723	1319722
1319723	1319724
1319727	1319726
1319727	1319728
1319727	1319729
1319728	1319727
1319729	1319727
1319730	1319731
1319730	1319732
1319730	1319789
1319730	1319790
1319790	1319730
1319790	1319784
1319790	1329720
1319955	1319731
1320028	1319732
1320028	1320027
1320028	1329723
1319734	1319733
1319738	1319739
1319738	1332744
1319739	1319738
1319739	1319822
1319739	1319823
1332744	1319738
1319822	1319739
1319822	1319823
1319822	1319830
1319823	1319739
1319823	1319822
1319823	1319832
1319823	1332741
1319740	1319741
1319740	1319742
1319740	1320245
1319740	1320350
1319741	1319740
1319741	1319752
1319741	1319949
1319742	1319740
1319742	1319743
1319742	1319744
1319742	1319797
1320245	1319740
1320245	1320196
1320245	1320246
1320245	1320346
1320350	1319740
1320350	1319792
1320350	1320351
1319752	1319741
1319752	1319750
1319752	1319951
1319949	1319741
1319949	1319950
1319949	1320278
1319743	1319742
1319744	1319742
1319744	1319745
1319744	1319755
1319797	1319742
1319797	1319754
1319797	1319792
1319745	1319744
1319745	1319746
1319755	1319744
1319755	1319754
1319755	1319757
1319755	1329724
1319746	1319745
1319746	1319747
1319746	1329726
1319747	1319746
1319747	1319748
1319747	1319952
1329726	1319746
1329726	1329725
1329726	1329727
1319748	1319747
1319748	1319749
1319748	1319750
1319952	1319747
1319952	1319953
1319952	1332749
1319749	1319748
1319750	1319748
1319750	1319751
1319750	1319752
1319751	1319750
1319951	1319752
1319754	1319755
1319754	1319756
1319754	1319797
1319756	1319754
1319756	1319757
1319756	1319775
1319757	1319755
1319757	1319756
1319757	1319758
1319757	1319759
1329724	1319755
1319775	1319756
1319775	1319776
1319775	1319796
1319758	1319757
1319758	1319765
1319758	1319766
1319759	1319757
1319759	1319760
1319759	1319779
1319759	1332756
1319765	1319758
1319765	1319764
1319765	1329725
1319766	1319758
1319760	1319759
1319760	1319761
1319760	1332739
1319779	1319759
1319779	1319778
1319779	1319898
1319779	1332752
1332756	1319759
1319761	1319760
1319761	1319762
1319761	1332738
1332739	1319760
1332739	1332740
1332739	1332741
1319762	1319761
1319762	1319763
1319762	1332737
1332738	1319761
1319763	1319762
1319763	1319764
1319763	1332734
1332737	1319762
1332737	1332735
1332737	1332757
1319764	1319763
1319764	1319765
1319764	1332751
1332734	1319763
1332734	1319998
1332734	1332735
1332734	1332748
1332751	1319764
1329725	1319765
1329725	1329726
1329725	1332750
1319768	1319767
1319768	1319769
1319768	1319774
1319774	1319767
1319774	1319768
1319774	1319773
1319769	1319768
1319769	1319770
1319785	1319770
1319785	1319784
1319785	1319789
1319772	1319771
1319772	1319773
1319772	1319839
1319772	1319914
1319914	1319771
1319914	1319772
1319914	1319913
1319773	1319772
1319773	1319774
1319773	1319782
1319773	1319912
1319839	1319772
1319839	1319835
1319839	1319838
1319839	1319915
1319782	1319773
1319782	1319783
1319782	1319868
1319912	1319773
1319912	1319838
1319912	1319962
1319776	1319775
1319776	1319777
1319776	1319796
1319796	1319775
1319796	1319776
1319796	1319795
1319777	1319776
1319777	1319778
1319777	1319815
1319778	1319777
